                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0888,                0.66674,                  1.108,                0.86586,                0.90698,                0.95248,                  0.609,                  1.299,                0.70437,                 1.2436,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.0869,                0.65796,                 1.1034,                 0.9509,                0.90084,                0.96356,                0.62949,                 1.2844,                0.64626,                 1.2965,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.0751,                 0.6421,                  1.115,                0.96532,                0.90698,                0.96903,                0.64212,                 1.2377,                0.62258,                 1.2961,               0.000614,               0.000614,               0.000614
                     38,                 1.0462,                 0.6136,                 1.1035,                0.92971,                0.92297,                0.96441,                0.62955,                 1.2728,                0.62607,                 1.3136,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.0696,                0.63772,                 1.1194,                0.91449,                0.93023,                0.97016,                0.64404,                 1.2553,                0.61193,                  1.308,              0.0005348,              0.0005348,              0.0005348
                     40,                0.96486,                0.58096,                 1.0679,                 0.9286,                0.90742,                0.98099,                0.64133,                 1.2423,                0.62405,                 1.3244,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.0584,                0.60526,                 1.1045,                0.97434,                0.88298,                0.96629,                0.62513,                 1.2463,                0.64744,                 1.2399,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.0235,                0.58985,                  1.097,                0.97359,                0.85738,                0.96477,                 0.6375,                 1.1928,                0.61775,                 1.2509,               0.000416,               0.000416,               0.000416
                     43,                 1.0261,                  0.563,                 1.1086,                0.92944,                      1,                0.98739,                0.64753,                 1.2671,                0.61816,                 1.2827,              0.0003764,              0.0003764,              0.0003764
                     44,                0.99562,                0.54987,                 1.1166,                0.92616,                      1,                0.98966,                0.64462,                 1.2736,                0.61982,                 1.2926,              0.0003368,              0.0003368,              0.0003368
                     45,                0.95782,                0.53681,                  1.062,                0.95393,                0.96312,                0.99153,                0.62996,                 1.3218,                0.59573,                 1.3016,              0.0002972,              0.0002972,              0.0002972
                     46,                0.95706,                 0.5171,                 1.0792,                0.97624,                 0.9556,                0.99277,                0.62332,                  1.351,                 0.5868,                 1.3145,              0.0002576,              0.0002576,              0.0002576
                     47,                0.95997,                0.52193,                 1.0814,                0.96978,                0.97674,                0.99162,                0.63626,                 1.3072,                0.56881,                 1.3033,               0.000218,               0.000218,               0.000218
                     48,                0.91112,                0.50172,                 1.0749,                0.99277,                0.95349,                0.99053,                0.63081,                 1.2873,                 0.5924,                 1.3066,              0.0001784,              0.0001784,              0.0001784
                     49,                0.91382,                0.50932,                 1.0418,                0.99376,                0.95349,                0.99279,                0.63776,                 1.2821,                0.57889,                 1.3091,              0.0001388,              0.0001388,              0.0001388
                     50,                0.90838,                0.49934,                  1.076,                0.99763,                0.95349,                0.99322,                0.64465,                 1.2648,                0.56499,                 1.3014,               9.92e-05,               9.92e-05,               9.92e-05
